Country,Total,"Recorded
consumption","Unrecorded
consumption","Beer
(%)","Wine
(%)","Spirits
(%)","Other
(%)","2020
projection","2025
projection"
Lithuania,15,13.8,1.2,43.6,7.3,37.1,12.1,14.4,13.9
South Korea,14.4,12.9,1.5,41.3,21.3,25.4,78.5,14.4,14.4
Czech Republic,14.3,12.4,1.4,53.3,21.3,25.4,0,11.2,11.4
Seychelles,13.8,12.4,1.4,68.9,22.4,6.3,2.5,10.4,10.6
Germany,13.4,11.3,1.4,52.6,28.4,18.9,0,12.8,12.6
Nigeria,13.4,9.6,3.8,7.9,0.4,0.6,91.1,13,12.5
Ireland,13,11.3,1.4,47,28,18.8,6.2,13.5,13.9
Moldova,13,11.5,1.4,35.4,44.6,20,0,12.6,12.4
Latvia,12.9,11.1,1.9,42.8,11.1,40,6.1,14,15.1
Bulgaria,12.7,11.4,1.3,38.8,17.2,42.9,1.2,13,13.4
France,12.6,11.8,1.5,18.8,58.8,20.7,1.7,12.3,12.1
Romania,12.6,10.4,2.2,55.6,28.1,16.4,0,13.2,13.8
Slovenia,12.6,10.8,1.8,41.4,50.6,8,0,11.6,10.6
Portugal,12.3,10.6,2.1,26.1,61.5,7.7,4.7,11.8,11.0
Luxembourg,12.3,10.6,2.1,26.1,61.5,7.7,4.7,11.8,11
Belgium,12.1,10.4,1,44.4,38.3,14.2,3.1,12.2,12.3
Russia,11.7,8.1,3.6,39.0,12.8,38.6,9.5,12.3,12.4
Austria,11.6,11.4,0.4,53.5,31.6,14.9,0,11.7,11.4
Estonia,16.9,15.8,1.1,32.7,7.4,50.3,9.6,11.5,11.9
Poland,11.6,10.4,1.7,56.1,7.8,36.1,0,12,12.7
Gabon,11.5,9.5,1.9,76.3,9.2,13.4,1.1,10.7,10.9
Slovakia,11.5,10.4,1.6,33.7,20.9,41.9,3.5,11.2,11.3
Switzerland,11.5,9.5,1.2,32.1,48.1,18.5,1.2,10.9,10.3
Hungary,11.4,10.9,1.5,35.5,32.2,32.3,0,11.2,10.9
United Kingdom,11.4,9.8,1.1,35,35.7,22.5,6.7,11.5,11.8
Andorra,11.3,10.1,1.6,34.1,42,23.9,0,11,10.5
Equatorial Guinea,11.3,9.9,1.4,83,17,0,0,11.8,12.4
Belarus,11.2,9.6,1.5,22.8,2.2,49,26,12.4,13.2
Serbia,11.1,9.2,1.8,32,42.5,25.4,0.1,11.3,11.6
Cyprus,10.8,9.6,1.8,29.7,28.4,41.9,0,11,11.6
Uruguay,10.8,9,1.9,35.2,43.7,21.1,0,12.1,13.3
Finland,10.7,8.4,2,48.8,20.6,21.5,9.1,10.8,10.9
New Zealand,10.7,9.1,1.3,37.4,33.4,28.9,0.3,10.6,10.4
Australia,10.6,9.6,0.8,39.9,37.5,12.9,9.8,10.5,10.3
Cook Islands,10.6,10,0.6,31.7,16.1,52.2,0,16.2,18.3
Denmark,10.4,9.5,1.2,37.4,44.7,17.1,0.8,10.3,10.3
Greece,10.4,6.4,4.3,31.5,45.5,21.8,1.3,10.7,10.8
Laos,10.4,7,3.4,50.1,0,49.8,0,10.5,10.9
Spain,10,8.5,1.8,54.2,18,27.8,0,9.6,8.9
Eswatini,9.9,7.4,2.7,24.6,16.1,0,59.3,10,10.1
Saint Lucia,9.9,9.7,1.5,35.4,13.2,50,1.4,9.6,9.1
Argentina,9.8,8.4,1.3,39.9,40.2,9.6,10.3,10,10.3
