Country,Continent,MarriageRate,DivorceRate,Ratio,Percent,DataSourceYear
Albania,Europe,8.1,1.7,4.76,20.99,(2018)[1]
Algeria,Africa,10.1,1.6,6.31,15.84,(2013)[2]
Armenia,Europe,6.0,1.0,6,16.67,(2011)[3][4]
Australia (more info),Oceania,4.6,2.0,2.3,43.48,(2017)[5]
Austria,Europe,5.3,1.8,2.94,33.96,(2018)[1]
Azerbaijan,Asia,9.7,1.5,6.47,15.46,(2011)[3][4]
Bahamas,North America,6.1,1.0,6.1,16.39,(2007)[3][4]
Belarus,Europe,9.2,4.1,2.24,44.57,(2011)[3][4]
Belgium (more info),Europe,3.9,2.1,1.86,53.85,(2016)[1]
Bermuda,,10.6,2.7,3.93,25.47,(2009)[3][4]
Bosnia and Herzegovina,Europe,4.8,0.6,8,12.5,(2012)[1]
Brazil,South America,6.6,1.4,4.71,21.21,(2009)[6]
Bulgaria,Europe,4.1,1.5,2.73,36.59,(2018)[1]
Canada (more info),North America,4.4,2.1,2.1,47.73,(2008)[3][4]
Chile,South America,3.3,0.7,4.71,21.21,(2009)[3][4]
China,Asia,7.2,3.2,2.25,44.44,(2018)[citation needed]
Colombia,South America,2.3,0.7,3.29,30.43,(2007)[7]
Costa Rica,North America,5.3,2.5,2.12,47.17,(2010)[3][4]
Croatia,Europe,4.9,1.5,3.27,30.61,(2018)[1]
Cuba,North America,5.2,2.9,1.79,55.77,(2010)[3][4]
Cyprus,Asia,6.8,2.2,3.09,32.35,(2017)[1]
Czech Republic,Europe,5.1,2.3,2.22,45.1,(2018)[1]
Denmark,Europe,5.6,2.6,2.15,46.43,(2018)[1]
Dominican Republic,North America,4.4,1.8,2.44,40.91,(2010)[3][4]
Ecuador,South America,5.6,1.1,5.09,19.64,(2006)[7]
Egypt,Africa,11.0,1.9,5.79,17.27,(2010)[3][4]
El Salvador,North America,3.5,0.8,4.38,22.86,(2006)[7]
Estonia,Europe,5.0,2.4,2.08,48,(2018)[1]
EU,,4.4,2,2.2,45.45,(2017)[1]
Finland,Europe,4.3,2.4,1.79,55.81,(2018)[1]
France,Europe,3.7,1.9,1.95,51.35,(2016)[1]
Georgia,Asia,6.9,1.3,5.31,18.84,(2011)[3][4]
Germany,Europe,4.9,1.9,2.58,38.78,(2017)[1]
Gibraltar,,6.7,3.2,2.09,47.76,(2010)[3][4]
Grenada,North America,5.0,1.1,4.55,22,(2001)[7]
Greece,Europe,4.7,1.8,2.61,38.3,(2017)[1]
Guatemala,North America,3.8,1.2,3.17,31.58,(2008)[3][4]
Hungary,Europe,5.2,1.7,3.06,32.69,(2018)[1]
Iceland,Europe,4.9,1.8,2.72,36.73,(2010)[1]
Iran,Asia,11.2,1.6,7,14.29,(2017)[8]
Ireland,Europe,4.6,0.7,6.57,15.22,(2017)[1]
Israel,Asia,6.5,1.8,3.61,27.69,(2009)[citation needed]
Italy,Europe,3.2,1.5,2.13,46.88,(2018)[1]
Jamaica,North America,7.5,1.5,5,20,(2011)[3][4]
Japan (more info),Asia,4.8,1.7,2.82,35.42,(2019)[9]
Jordan,Asia,10.2,2.6,3.92,25.49,(2010)[3][4]
