"Y1879" "Y1882"
850 883
740 816
900 778
1070 796
930 682
850 711
950 611
980 599
980 1051
880 781
1000 578
980 796
930 774
650 820
760 772
810 696
1000 573
1000 748
960 748
960 797
960 851
940 809
960 723
940 NA
880 NA
800 NA
850 NA
880 NA
900 NA
840 NA
830 NA
790 NA
810 NA
880 NA
880 NA
830 NA
800 NA
790 NA
760 NA
800 NA
880 NA
880 NA
880 NA
860 NA
720 NA
720 NA
620 NA
860 NA
970 NA
950 NA
880 NA
910 NA
850 NA
870 NA
840 NA
840 NA
850 NA
840 NA
840 NA
840 NA
890 NA
810 NA
810 NA
820 NA
800 NA
770 NA
760 NA
740 NA
750 NA
760 NA
910 NA
920 NA
890 NA
860 NA
880 NA
720 NA
840 NA
850 NA
850 NA
780 NA
890 NA
840 NA
780 NA
810 NA
760 NA
810 NA
790 NA
810 NA
820 NA
850 NA
870 NA
870 NA
810 NA
740 NA
810 NA
940 NA
950 NA
800 NA
810 NA
870 NA
