Title ,Year ,Director ,Country ,ASL 
11:14,2003,"Marcks, Greg ",USA ,4.28
21,2008,"Luketic, Robert ",,3.63
300,2007,"Snyder, Zack ",USA ,4.17
2012,2009,"Emmerich, Roland ",USA ,3
$ ,1972,"Brooks, Richard ",,4.9
*Batteries Not Included ,1987,"Robbins, Matthew ",USA ,7.3
[Rec]3 Génesis ,2012,"Plaza, Paco ",SPA ,4.22
1 Day ,2009,"Woolcock, Penny ",BRI ,5.79
10,1979,"Edwards, Blake ",USA ,11.89
10 Things I Hate About You ,1999,"Junger, Gil ",USA ,6.7
10 Years ,2011,"Linden, Jamie ",USA ,5.75
"10,000 BC ",2008,"Emmerich, Roland ",USA ,2.82
101 Dalmatians ,1996,"Herek, Stephen ",USA ,3.5
101 Reykjavik ,2000,"Kormakur, Baltasar ",,7.8
102 Dalmatians ,2000,"Lima, Kevin ",USA ,3.2
10th. & Wolf ,2006,"Morresco, Bobby ",USA ,3.86
127 Hours ,2011,"Boyle, Danny ",,3.5
13 Assassins ,2010,Takashi Miike ,,6.12
13 Going on 30 ,2004,"Winick, Gary ",USA ,4.97
13 Rue Madeleine ,1946,"Hathaway, Henry ",USA ,7.5
13 Tzameti ,2005,"Babluani, Gela ",,6.82
"13th. Warrior, The ",1999,"McTiernan, John ",USA ,4.1
15 Minutes ,2001,"Herzfeld, John ",USA ,3.6
16 Blocks ,2006,"Donner, Richard ",,3.28
17 Again ,2009,"Steers, Burr ",USA ,3.16
1793,1914,"Capellani, Albert ",FRA ,12.5
1941,1979,"Spielberg, Steven ",USA ,5.5
1942: A Love Story ,1994,"Chopra, Vidhu Vinod ",IND ,6.6
2 Days in Paris ,2006,"Delpy, Julie ",,4.67
"2 Fast, 2 Furious ",2003,"Singleton, John ",,2.36
20 Dates ,1998,"Berkowitz, Myles ",USA ,7.3
20 Fingers ,2004,"Akbari, Mania ",IRA ,475.7
20 Million Miles to Earth ,1957,"Juran, Nathan ",USA ,4.93
"20,000 Leagues Under the Sea ",1954,"Fleischer, Richard ",USA ,8.97
2001 Maniacs ,2005,"Sullivan, Tim ",USA ,3.14
2001: A Space Odyssey ,1968,"Kubrick, Stanley ",USA ,13.19
2046,2004,Wong Kar Wai ,CHI ,8.64
21 Days ,1937,"Dean, Basil ",BRI ,6.5
21 Grams ,2003,"Inarritu, Alejandro Gonzalez ",,4.54
21 Jump Street ,2012,"Lord, Phil & Miller, Christopher ",USA ,2.48
23 Paces to Baker Street ,1956,"Hathaway, Henry ",USA ,10.29
24 Hour Party People ,2001,"Winterbottom, Michael ",BRI ,5.4
25th. Hour ,2002,"Lee, Spike ",USA ,4.42
27 Dresses ,2008,"Fletcher, Anne ",USA ,4.04
28 Days ,2000,"Thomas, Betty ",USA ,4.6
28 Days Later ,2002,"Boyle, Danny ",,3.71
28 Weeks Later ,2007,"Fresnadillo, Juan Carlos ",,2.42
29 Acacia Avenue ,1945,"Cass, Henry ",BRI ,13.6
3 Ninjas ,1992,"Turtletaub, Jon ",USA ,2.9
3 Ninjas: High Noon at Mega Mountain ,1998,"McNamara, Sean ",,3
3 Women ,1977,"Altman, Robert ",USA ,10
3.10 to Yuma ,1957,"Daves, Delmer ",USA ,6.3
3:10 to Yuma ,2007,"Mangold, James ",USA ,3.53
3:15,1986,"Gross, Larry ",USA ,5.4
30 Days of Night ,2007,"Slade, David ",USA ,2.8
"300 Spartans, The ",1962,"Maté, Rudolph ",USA ,6.5
3000 miles to Graceland ,2000,"Lichtenstein, Demian ",USA ,2.2
35 Rhums ,2008,"Denis, Claire ",,11.51
36 Quai des Orf?vres ,2004,"Marchal, Olivier ",FRA ,4.39
37.2 Le Matin ,1986,"Beineix, Jean-Jacques ",FRA ,13
"4 Months, 3 Weeks and 2 Days ",2007,"Mungiu, Cristian ",RUM ,92.69
4: Rise of the Silver Surfer ,2007,"Story, Tim ",USA ,2.69
40 Days and 40 Nights ,2002,"Lehmann, Michael ",,3.7
40 Guns to Apache Pass ,1966,"Witney, William ",USA ,7.1
"40 Year Old Virgin, The ",2005,"Apatow, Judd ",USA ,3.6
42nd. Street ,1933,"Bacon, Lloyd ",USA ,8.1
44 Inch Chest ,2009,"Venville, Malcolm ",,3.97
48 HRS. ,1982,"Hill, Walter ",USA ,4.26
5 Days of War ,2011,"Harlin, Renny ",,3.09
5 Fingers ,1952,"Mankiewicz, Joseph L. ",USA ,16.6
5 x 2 ,2004,"Ozon, Francois ",FRA ,13.53
"5,000 Finger of Dr. T, The ",1953,"Rowland, Roy ",USA ,5.77
50 First Dates ,2004,"Segal, Peter ",USA ,3.28
"51st. State, The ",2001,"Yu, Ronny ",,3
54,1998,"Christopher, Mark ",USA ,5.3
55 Days at Peking ,1963,"Ray, N., Marton, A., ",USA ,6.99
633 Squadron ,1964,"Grauman, Walter E. ",BRI ,5.2
"6th. Day, The ",2000,"Spottiswoode, Roger ",USA ,2
"6th. Man, The ",1997,"Miller, Randall ",USA ,2.6
7th. Cavalry ,1956,"Lewis, Joseph H. ",USA ,9.39
"7th. Dawn, The ",1964,"Gilbert, Lewis ",BRI ,7.1
7th. Heaven ,1927,"Borzage, Frank ",USA ,5.9
8 Mile ,2002,"Hanson, Curtis ",USA ,3.41
8 Million Ways to Die ,1986,"Ashby, Hal ",USA ,7.73
8 mm ,1999,"Schumacher, Joel ",USA ,6.3
8 Seconds ,1994,"Avildsen, John G. ",USA ,6.9
8 Women ,2001,"Ozon, Francois ",,8.1
8.5,1963,"Fellini, Federico ",ITA ,10.4
"80,000 Suspects ",1963,"Guest, Val ",BRI ,9.5
800 Leagues Down the Amazon ,1993,"Llosa, Luis ",,4.4
84 Charing Cross Road ,1986,"Jones, David ",BRI ,13.8
9-Rota ,2005,"Bondarchuk, Fyodor ",RUS ,2.92
A bout de souffle ,1959,"Godard, Jean-Luc ",FRA ,15
? bout portant ,2010,"Cavayé, Fred ",FRA ,3.34
A la place du coeur ,1998,"Guédigian, Robert ",FRA ,9.7
A l'attaque ,2000,"Guédigian, Robert ",FRA ,9.3
A ma soeur! ,2001,"Breillat, Catherine ",,25.7
A Nous la Liberté ,1931,"Clair, René ",FRA ,9.5
? perdre la raison ,2012,"Lafosse, Joachim ",,17.13
Aah ,1953,"Nawatha, Raja ",IND ,9.5
Aaltra ,2004,Delepine & Kerven ,BEL ,20.89
Aap ki Khatir ,1977,"Roy, Sudhendu ",IND ,8.5
Aar Paar ,1954,"Dutt, Guru ",IND ,9.8
Abba: The Movie ,1977,"Hallström, Lasse ",,3.8
Abbott and Costello in the Foreign Legion ,1950,"Lamont, Charles ",USA ,6.9
Abbott and Costello Meet Captain Kidd ,1952,"Lamont, Charles ",USA ,7.1
Abbott and Costello Meet Dr. Jekyll and Mr ,1953,"Lamont, Charles ",USA ,6.5
Abbott and Costello Meet the Invisible Man ,1951,"Lamont, Charles ",USA ,8.9
Abbott and Costello meet the Keystone Kops ,1955,"Lamont, Charles ",USA ,6.5
Abbott and Costello Meet the Killer ,1949,"Barton, Charles T. ",USA ,9.5
Abduction ,2011,"Singleton, John ",USA ,3.26
"Abduction Club, The ",2002,"Schwartz, Stefan ",,3.6
Abe Lincoln in Illinois ,1940,"Cromwell, John ",USA ,9.23
Aberration ,1997,"Boxell, Tim ",AUS ,3.5
Abhijaan ,1962,"Ray, Satyajit ",IND ,9.9
Abhimaan ,1973,"Mukherjee, Hrishikesh ",IND ,9.2
"Abominable Dr. Phibes, The ",1971,"Fuest, Robert ",BRI ,6.9
"Abominable Snowman, The ",1957,"Guest, Val ",BRI ,12.2
Abouna ,2002,"Haroun, Mahmat-Saleh ",,21.1
About a Boy ,2002,"Weitz, Chris & Paul ",,3.8
About Adam ,2000,"Stembridge, Gerard ",IRE ,7.5
About Last Night ,1986,"Zwick, Edward ",USA ,8.25
About Schmidt ,2002,"Payne, Alexander ",USA ,7.52
Above the Law ,1988,"Davis, Andrew ",USA ,3.3
Above Us the Waves ,1955,"Thomas, Ralph ",BRI ,7.41
Abraham Lincoln: Vampire Hunter ,2012,"Bekmambetov, Timur ",,3.1
